Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResultOnset,ResponseOnset,ResponseTime,ResponseUncertainty,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11867,10.5526,11.1196,99,14.0367,,,,
2,2,1,1,0.13,0,1,9.625,0,15.7862,25.4159,25.9324,1,28.9008,28.0574,2.125,0.00039441,
3,2,1,3,0.91,1,0,11.375,1,30.6646,42.0321,42.5628,1,45.536,44.218,1.6552,0.0011972,46.7709
4,3,1,1,0.15,1,1,9.625,1,47.2879,56.9321,57.4326,0,60.4079,59.0807,1.6481,0.00071698,
5,1,1,2,0.61,0,1,10.5,0,62.1575,72.6829,73.1883,1,76.1543,74.7204,1.5321,0.00041494,
6,3,1,1,0.31,1,0,11.375,0,77.922,89.3181,89.8187,0,92.7886,91.1674,1.3487,0.00052637,
7,3,1,3,0.79,1,0,10.5,0,94.5405,105.0689,105.5643,0,108.5469,107.4316,1.8673,0.00034749,
8,1,1,1,0.1,0,0,10.5,0,110.3081,120.8198,121.3204,0,124.2932,122.8872,1.5668,0.00042887,
9,3,1,2,0.58,1,1,9.625,0,126.0429,135.6907,136.1906,0,139.1734,137.5027,1.3121,0.00031377,
10,3,1,2,0.36,1,0,11.375,1,140.9255,152.3215,152.8221,0,155.8028,154.3025,1.4804,0.00027565,
11,1,1,3,0.82,0,0,10.5,1,157.5524,168.0724,168.57299999999998,1,171.549,170.1987,1.6257,0.00080788,
12,3,1,1,0.22,1,0,10.5,1,173.2988,183.8297,184.3296,0,187.2956,185.8459,1.5162,0.00037608,
13,3,1,3,0.87,0,0,10.5,1,189.0624,199.5762,200.0761,0,203.0613,201.6853,1.6092,0.00032477,
14,1,1,2,0.45,0,0,10.5,0,204.8132,215.325,215.8255,1,218.8121,217.421,1.5955,0.00028225,
15,2,1,3,0.7,0,1,9.625,0,220.5641,230.2082,230.7024,1,233.6849,232.4527,1.7503,0.00029471,
16,1,1,1,0.27,0,1,10.5,1,235.4346,245.959,246.4655,0,249.4313,247.8124,1.3469,0.00036948,
17,2,1,2,0.4,0,0,11.375,0,251.1815,262.5785,263.0616,1,266.0647,264.3798,1.3183,0.00027418,
18,1,1,1,0.18,0,0,10.5,1,267.8166,278.3451,278.8414,1,281.8154,279.7238,0.8823700000000001,0.00049851,
19,1,1,3,0.74,0,0,10.5,0,283.5736,294.08799999999997,294.5878,1,297.5704,295.7071,1.1193,0.00028225,
20,3,1,2,0.52,1,0,10.5,1,299.32,309.8468,310.3473,0,313.3173,312.019,1.6717,0.00046772,
21,1,1,1,0.34,0,1,9.625,0,315.0692,324.6975,325.2306,1,328.2005,326.7865,1.5559,0.00034896,
22,3,1,3,0.7,1,0,11.375,1,329.9524,341.3485,341.8491,0,344.8263,343.7547,1.9057,0.00095597,
23,2,1,2,0.65,0,1,9.625,0,346.5759,356.2071,356.7323,1,359.7061,358.5219,1.7895,0.00048971,
24,2,1,2,0.49,1,0,11.375,1,361.4558,372.8533,373.3532,1,376.3206,375.1452,1.7919999999999998,0.0003233,377.565
25,2,1,2,0.57,0,1,9.625,0,378.0854,387.7335,388.2172,1,391.2039,390.2011,1.9839,0.00035629,
26,2,1,1,0.22,1,1,10.5,1,392.9653,403.4676,403.9849,0,406.9621,406.6887,2.7038,0.00036215,
27,1,1,2,0.4,1,0,11.375,1,408.7117,420.0924,420.6091,1,423.5915,421.9443,1.3352,0.00038855,424.8223
28,2,1,1,0.27,1,0,10.5,1,425.3419,435.8556,436.3555,0,439.3407,437.7597,1.4042,0.00024999,
29,1,1,3,0.88,0,0,10.5,1,441.0926,451.5877,452.1186,1,455.0917,453.8874,1.7689,0.00028884,
30,3,1,1,0.09,1,1,9.625,0,456.8508,466.4986,466.9883,0,469.9748,468.711,1.7227,0.00031963,
31,3,1,2,0.44,1,1,10.5,1,471.7268,482.2284,482.7449,0,485.7275,484.3026,1.5577,0.00025659,
32,3,1,3,0.95,1,0,11.375,0,487.4777,498.8746,499.3578,1,502.3441,501.5664,2.2086,0.00034676,503.5845
33,2,1,3,0.75,1,0,10.5,1,504.1067,514.6246,515.1084,1,518.1035,517.2779,2.1696,0.00028444,519.3381
34,2,1,1,0.06,1,0,10.5,0,519.8638,530.384,530.876,0,533.8627,532.9817,2.1057,0.00043766,
