Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResultOnset,ResponseOnset,ResponseTime,ResponseUncertainty,ShockOnset
18,1,1,1,0.18,0,0,10.5,1,267.817,278.3367,278.837,1,281.8215,279.9106,1.0736,0.00070744,
19,1,1,3,0.74,0,0,10.5,0,283.5725,294.0776,294.5777,1,297.5624,295.5502,0.97255,0.00070597,
20,3,1,2,0.52,1,0,10.5,1,299.32599999999996,309.8234,310.3401,0,313.3226,311.5496,1.2095,0.0007067,
21,1,1,1,0.34,0,1,9.625,0,315.0722,324.7199,325.2091,1,328.2023,326.2848,1.0757,0.00078954,
22,3,1,3,0.7,1,0,11.375,1,329.9519,341.3334,341.8504,0,344.8184,342.8602,1.0098,0.00070597,
23,2,1,2,0.65,0,1,9.625,0,346.5812,356.2239,356.7288,0,359.6947,358.2999,1.5711,0.0017792,
24,2,1,2,0.49,1,0,11.375,1,361.4442,372.8484,373.3487,0,376.3333,374.5628,1.2142,0.0007111000000000001,
25,2,1,2,0.57,0,1,9.625,0,378.0842,387.7222,388.2225,0,391.2071,389.4582,1.2357,0.00069864,
26,2,1,1,0.22,1,1,10.5,1,392.958,403.4841,403.98400000000004,0,406.9499,405.11400000000003,1.1301,0.00070524,
27,1,1,2,0.4,1,0,11.375,1,408.7161,420.1043,420.6045,1,423.5892,421.6813,1.0768,0.0007111000000000001,424.8214
28,2,1,1,0.27,1,0,10.5,1,425.34,435.8451,436.36199999999997,0,439.342,437.7288,1.3668,0.00070597,
29,1,1,3,0.88,0,0,10.5,1,441.0916,451.6193,452.1056,1,455.088,453.5921,1.4865,0.00070744,
30,3,1,1,0.09,1,1,9.625,0,456.8384,466.4931,466.9933,0,469.9679,468.3754,1.3821,0.00070597,
31,3,1,2,0.44,1,1,10.5,1,471.7175,482.2483,482.7341,0,485.7187,483.7666,1.0325,0.0007111000000000001,
32,3,1,3,0.95,1,0,11.375,0,487.4803,498.861,499.3754,0,502.3434,500.5661,1.1907,0.00070084,
